id;address;ymap_y;ymap_x;created_at;updated_at
1;in;above whisper joyously;ah sans;2024-11-23T13:38:47;2024-11-22T20:02:57
2;while distant mouser;however;out;2024-11-23T11:45:57;2024-11-22T20:30:13
3;gleefully decouple;creature;colorize amidst however;2024-11-22T18:08:06;2024-11-23T02:07:31
4;quadruple;outset;joshingly inasmuch imaginary;2024-11-23T05:35:06;2024-11-22T15:06:24
5;notwithstanding;gadzooks;scrap needily;2024-11-22T16:53:02;2024-11-23T10:36:55
6;prejudge;celsius boo up;intervention;2024-11-22T15:34:59;2024-11-22T14:43:08
7;slake;until while throughout;pertinent;2024-11-22T22:25:34;2024-11-22T22:40:03
8;thorough;unexpectedly;scarcely lovingly;2024-11-22T20:47:14;2024-11-23T10:52:57
9;navigate finally;yum past;terraform porter;2024-11-23T06:33:25;2024-11-22T19:10:52
10;brand coolly;expansion adrenalin lawmaker;for bemuse;2024-11-22T20:43:06;2024-11-22T17:01:02
