id;rating;chief_status;about;additional_links;education_document;medical_book
1;1503.7;FREE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;distant;representation
2;25151.8;FREE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;gosh;nor
3;3883.87;FREE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;plumber premeditation;knowledgeably
4;20648.94;BUSY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ugly thorough colon;shovel optimistically
5;24915.04;FREE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;oh;whose
6;21573.85;BUSY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;distant;whereas beyond finally
7;28378.18;BUSY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;march geez;pull
8;32413.53;BUSY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;impact;deprave
9;11605.75;BUSY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;whispered satirize unless;rarely instead
10;5151.2;BUSY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;faithfully including quarrelsomely;midwife
