id;telegram_link;vk_link;odnoklassniki_link;youtube_link;rutube_link
1;oh;bourgeoisie;whenever apostrophize aw;provided vamoose;however tooth nab
2;weighty volleyball yet;tender after bah;sure-footed absent;narrate brood clone;through
3;summary gosh ah;carouse;alongside where;altruistic;buzzing seriously
4;hmph;oh loosely;times;peaceful atop;reproach loyally
5;times;pomelo that;amount weekly obvious;technologist chubby obediently;fort subtract
6;transcend successfully now;amount;since until;into shaft;inside
7;nor;oh yet aw;medium;now;abnormally rout till
8;once horst;abaft onto;darling;during;safely versus
9;tomatillo dual shocked;airmail formamide when;oof;gosh;until
10;since svelte;because overplay;detective of;oblong mid stitcher;properly promptly boo
