id;city;has_object;created_at;updated_at
1;Пенза;false;2024-11-22T22:54:21;2024-11-23T00:07:08
2;Екатеринбург;true;2024-11-22T18:03:21;2024-11-23T02:47:44
3;Новый Уренгой;true;2024-11-23T13:13:41;2024-11-23T02:39:16
4;Печенга;false;2024-11-22T21:48:04;2024-11-23T08:20:10
5;Хабаровск;true;2024-11-23T01:48:03;2024-11-23T07:04:56
6;Видное;false;2024-11-23T06:32:05;2024-11-23T14:28:38
7;Нижневартовск;false;2024-11-23T07:40:27;2024-11-23T00:11:19
8;Дербент;false;2024-11-23T06:22:51;2024-11-22T20:47:45
9;Любань;true;2024-11-23T00:52:12;2024-11-22T15:49:41
10;Ярославль;false;2024-11-23T09:26:19;2024-11-22T18:36:12
