id;name;price;description;preparation_time;image;status;created_at;updated_at;composition;weight;dish_status
1;tut;26834;../fake-data/blob/hipster.txt;21067;consequently unexpectedly phew;thoughtfully out distant;2024-11-23T13:56:29;2024-11-22T19:35:50;../fake-data/blob/hipster.txt;17283;AVAILABLE
2;serve deeply;26242;../fake-data/blob/hipster.txt;5540;when;mesh ha jell;2024-11-22T16:40:59;2024-11-22T22:52:41;../fake-data/blob/hipster.txt;4515;AVAILABLE
3;till;28024;../fake-data/blob/hipster.txt;2021;alongside;after worriedly commemorate;2024-11-22T22:10:13;2024-11-22T17:58:16;../fake-data/blob/hipster.txt;18802;AVAILABLE
4;obscure loudly and;18663;../fake-data/blob/hipster.txt;9086;dependent phooey;quizzically joyfully;2024-11-22T23:38:30;2024-11-22T21:16:16;../fake-data/blob/hipster.txt;26394;AVAILABLE
5;well-lit woot;10882;../fake-data/blob/hipster.txt;16264;kindheartedly accredit yum;godfather rebuke bar;2024-11-23T13:13:25;2024-11-23T03:17:16;../fake-data/blob/hipster.txt;24702;NOT_AVAILABLE
6;indeed;26767;../fake-data/blob/hipster.txt;24222;turret;however;2024-11-23T05:11:38;2024-11-23T01:58:38;../fake-data/blob/hipster.txt;31845;NOT_AVAILABLE
7;outside runny taxicab;26018;../fake-data/blob/hipster.txt;11086;down rebuke;loudly;2024-11-23T12:35:07;2024-11-23T03:45:16;../fake-data/blob/hipster.txt;13189;AVAILABLE
8;ick yahoo repeatedly;17089;../fake-data/blob/hipster.txt;15204;next;celebrated vet bleak;2024-11-22T22:31:44;2024-11-22T20:27:48;../fake-data/blob/hipster.txt;28129;AVAILABLE
9;justly modulo;8119;../fake-data/blob/hipster.txt;32125;reporter;hastily about;2024-11-22T23:10:22;2024-11-23T03:48:19;../fake-data/blob/hipster.txt;30688;AVAILABLE
10;exactly unaccountably stool;15140;../fake-data/blob/hipster.txt;28933;badly;white;2024-11-22T15:52:48;2024-11-23T13:12:52;../fake-data/blob/hipster.txt;21759;AVAILABLE
