id;name;description;image;created_at;updated_at
1;up curiously;../fake-data/blob/hipster.txt;lest briskly;2024-11-23T10:29:25;2024-11-22T16:08:40
2;mill corrupt toward;../fake-data/blob/hipster.txt;brace concerning fund;2024-11-22T19:04:01;2024-11-22T20:19:02
3;likewise after absolve;../fake-data/blob/hipster.txt;inspect;2024-11-22T16:46:33;2024-11-22T15:54:37
4;aha carefree;../fake-data/blob/hipster.txt;whine mythology;2024-11-23T09:09:31;2024-11-23T00:04:58
5;usefully immediately;../fake-data/blob/hipster.txt;now;2024-11-23T04:02:33;2024-11-23T11:38:50
6;sudden;../fake-data/blob/hipster.txt;rapidly furthermore until;2024-11-23T03:56:45;2024-11-23T05:36:15
7;ew gah;../fake-data/blob/hipster.txt;access;2024-11-22T18:49:33;2024-11-23T11:52:24
8;mysteriously powerful neatly;../fake-data/blob/hipster.txt;apropos blah;2024-11-23T04:28:44;2024-11-23T05:08:03
9;blah outside;../fake-data/blob/hipster.txt;barring;2024-11-22T16:31:00;2024-11-23T07:38:25
10;illiterate;../fake-data/blob/hipster.txt;jellyfish windy;2024-11-22T19:32:14;2024-11-22T16:21:20
