id;status;updated_at;created_at;sum;payment_method;payment_status;transaction_id;order_status
1;wetly unethically;2024-11-22T23:13:55;2024-11-22T17:00:03;6604;CARD;COMPLETED;15201;PAID
2;cautiously;2024-11-23T10:54:53;2024-11-23T09:21:51;21725;SBP;COMPLETED;19673;SHIPPED
3;likewise preregister boo;2024-11-23T12:53:28;2024-11-22T22:37:32;20509;SBP;FAILED;3016;SHIPPED
4;ha;2024-11-22T16:12:13;2024-11-23T13:20:39;14844;SBP;COMPLETED;27959;CREATED
5;zowie teriyaki;2024-11-22T21:15:39;2024-11-23T00:50:58;32491;SBP;COMPLETED;7915;SHIPPED
6;selfish;2024-11-23T05:55:45;2024-11-23T07:01:45;20122;CARD;PENDING;6696;DELIVERED
7;whup;2024-11-23T08:54:35;2024-11-23T07:07:25;12191;SBP;FAILED;9412;SHIPPED
8;scare during ugh;2024-11-23T00:16:33;2024-11-23T05:19:39;16585;SBP;COMPLETED;7735;DELIVERED
9;unimportant;2024-11-23T00:07:15;2024-11-23T06:31:48;16307;CARD;PENDING;17265;CREATED
10;slushy second-hand;2024-11-23T14:11:16;2024-11-23T08:17:44;16196;SBP;FAILED;29368;SHIPPED
